transaction_line_id,transaction_id,sku_code,quantity,unit_price,discount_amount,tax_amount,line_total,created_at
LINE000000000001,a3e9bae9-13fb-496c-948a-295cc7f047a7,IPD202101-512-SIL,1,823.74,0.0,57.66,881.4,2024-09-19
LINE000000000002,4f56ddb7-f986-4617-a55c-78b1b79d39f8,MAC202101-256-GOL,1,953.6,0.0,66.75,1020.35,2024-09-04
LINE000000000003,b1797bd4-848b-4ec9-8f14-14aa95bcc685,MAC202101-256-GOL,1,763.48,76.35,48.1,735.23,2019-11-04
LINE000000000004,9ae0a0f2-193a-49bb-b123-ca92458bf89a,IPD202101-128-GOL,1,1006.5,50.33,66.93,1023.1,2019-09-12
LINE000000000005,e1e5ca6f-c5d9-48c6-9a54-cf9a1f783f2b,IPD202101-256-GOL,1,1681.3,0.0,117.69,1798.99,2024-05-29
LINE000000000006,cdc8d022-3432-4b84-b57d-8a3d87947401,ACC202101-STD,1,1042.07,104.21,65.65,1003.51,2024-11-21
LINE000000000007,70e9ffd5-c0d7-43ed-a144-7ea21ce9d20e,IPD202101-512-BLU,1,1270.49,0.0,228.69,1499.18,2018-05-07
LINE000000000008,ecac754b-2670-481c-a430-034ec64f325d,MAC202101-256-BLA,1,1363.14,136.31,220.83,1447.66,2024-10-28
LINE000000000009,3b5ce8cb-5ed3-40e6-bc89-d6819d31bf23,IPH202101-128-BLA,1,1599.91,80.0,273.58,1793.49,2024-10-28
LINE000000000010,595bb987-097f-4cfd-9587-178ca3693a58,MAC202101-512-GOL,1,1899.34,94.97,180.44,1984.81,2024-11-28
LINE000000000011,4c0c1f72-81eb-4190-bd77-9719ee5c32fc,MAC202101-128-SPA,1,1665.21,0.0,166.52,1831.73,2023-09-16
LINE000000000012,c764da8b-7f22-4440-ad55-c6d484a6e491,IPD202101-128-GOL,1,1253.59,125.36,78.98,1207.21,2022-07-28
LINE000000000013,1ffbcd09-0115-4146-ab5a-6f67dad35e16,IPH202101-512-BLU,1,752.1,37.61,50.01,764.5,2022-10-11
LINE000000000014,f87f5555-9b35-446b-b0ed-a12d0845ae77,MAC202101-256-GOL,1,882.98,0.0,61.81,944.79,2024-09-14
LINE000000000015,e916127c-8fb5-406c-9627-32e805532437,IPH202101-512-SPA,1,1622.65,81.13,107.91,1649.43,2023-12-12
LINE000000000016,c7d401b1-6fec-4b56-8951-ab1dad71c0be,DSP202101-32inch,1,1798.35,179.84,113.3,1731.81,2024-09-23
LINE000000000017,e984f86b-c69c-4401-9635-7e90179954c9,MAC202101-512-SPA,1,1062.17,0.0,74.35,1136.52,2024-11-18
LINE000000000018,c1584861-23ed-4d8e-887c-6cdf1faf34d4,MAC202101-256-BLA,1,681.01,34.05,45.29,692.25,2024-11-23
LINE000000000019,e1581bff-f457-43c0-b94b-a1b98cff2ffa,MAC202101-512-BLU,1,663.01,66.3,41.77,638.48,2024-06-05
LINE000000000020,0ed42c95-496f-46e0-8a6c-c9ec1245c8c7,IPD202101-256-GOL,1,1007.21,50.36,66.98,1023.83,2024-08-15
LINE000000000021,a53c4687-9b74-4ae5-a602-402408b85d14,IPD202101-256-SPA,1,514.69,25.73,34.23,523.19,2024-09-05
LINE000000000022,2790ce3f-546c-4651-9b0b-ef8f3f00c5e5,IPH202101-512-BLA,1,771.43,77.14,48.6,742.89,2023-11-18
LINE000000000023,a1af7ea4-f332-4f90-9a0b-2c569a5d8846,TV202101-STD,1,776.51,0.0,54.36,830.87,2024-10-16
LINE000000000024,11bd3e92-12d8-4add-b984-a733c5c9decd,MAC202101-512-SIL,1,1704.73,170.47,107.4,1641.66,2024-07-14
LINE000000000025,088ac811-b55d-4785-88d8-838ba3351e95,IPD202101-256-SPA,1,931.44,46.57,88.49,973.36,2017-05-27
