transaction_id,transaction_number,transaction_timestamp,customer_id,store_id,channel_id,payment_method,currency,gross_amount,total_discount,total_tax,net_total,created_at
a3e9bae9-13fb-496c-948a-295cc7f047a7,TXN0000000001,2024-09-19,48eff04c-555a-4ffa-9823-76dafb7e60a4,US_0017,POS,Bank EMI,USD,823.74,0.0,57.66,881.4,2024-09-19
4f56ddb7-f986-4617-a55c-78b1b79d39f8,TXN0000000002,2024-09-04,48eff04c-555a-4ffa-9823-76dafb7e60a4,US_0015,POS,American Express,USD,953.6,0.0,66.75,1020.35,2024-09-04
b1797bd4-848b-4ec9-8f14-14aa95bcc685,TXN0000000003,2019-11-04,158c5998-32c3-461b-abd2-30c964fc8216,US_0006,POS,American Express,USD,763.48,76.35,48.1,735.23,2019-11-04
9ae0a0f2-193a-49bb-b123-ca92458bf89a,TXN0000000004,2019-09-12,158c5998-32c3-461b-abd2-30c964fc8216,US_0016,POS,Apple Financing,USD,1006.5,50.33,66.93,1023.1,2019-09-12
e1e5ca6f-c5d9-48c6-9a54-cf9a1f783f2b,TXN0000000005,2024-05-29,9b751309-ef12-4150-bb6b-2f243fb3769d,US_0004,POS,Visa,USD,1681.3,0.0,117.69,1798.99,2024-05-29
cdc8d022-3432-4b84-b57d-8a3d87947401,TXN0000000006,2024-11-21,9b751309-ef12-4150-bb6b-2f243fb3769d,US_0009,POS,Bank EMI,USD,1042.07,104.21,65.65,1003.51,2024-11-21
70e9ffd5-c0d7-43ed-a144-7ea21ce9d20e,TXN0000000007,2018-05-07,17229c95-66f6-4e41-8e86-154618912336,IN_0013,POS,Discover,INR,1270.49,0.0,228.69,1499.18,2018-05-07
ecac754b-2670-481c-a430-034ec64f325d,TXN0000000008,2024-10-28,17229c95-66f6-4e41-8e86-154618912336,IN_0015,POS,American Express,INR,1363.14,136.31,220.83,1447.66,2024-10-28
3b5ce8cb-5ed3-40e6-bc89-d6819d31bf23,TXN0000000009,2024-10-28,17229c95-66f6-4e41-8e86-154618912336,IN_0012,POS,Apple Pay,INR,1599.91,80.0,273.58,1793.49,2024-10-28
595bb987-097f-4cfd-9587-178ca3693a58,TXN0000000010,2024-11-28,07145809-c271-404f-b84e-f5b3e3fac128,JP_0002,POS,Apple Financing,JPY,1899.34,94.97,180.44,1984.81,2024-11-28
4c0c1f72-81eb-4190-bd77-9719ee5c32fc,TXN0000000011,2023-09-16,07145809-c271-404f-b84e-f5b3e3fac128,JP_0016,POS,Visa,JPY,1665.21,0.0,166.52,1831.73,2023-09-16
c764da8b-7f22-4440-ad55-c6d484a6e491,TXN0000000012,2022-07-28,61fc8223-06ff-454a-80f8-16720dab347c,US_0009,POS,Apple Pay,USD,1253.59,125.36,78.98,1207.21,2022-07-28
1ffbcd09-0115-4146-ab5a-6f67dad35e16,TXN0000000013,2022-10-11,2acd5184-c1c5-4668-9e67-ba20306262c9,US_0017,POS,Corporate Financing,USD,752.1,37.61,50.01,764.5,2022-10-11
f87f5555-9b35-446b-b0ed-a12d0845ae77,TXN0000000014,2024-09-14,21758cd8-c983-4fed-97ed-8a7059e220ab,US_0011,POS,Visa,USD,882.98,0.0,61.81,944.79,2024-09-14
e916127c-8fb5-406c-9627-32e805532437,TXN0000000015,2023-12-12,21758cd8-c983-4fed-97ed-8a7059e220ab,US_0011,POS,Cash,USD,1622.65,81.13,107.91,1649.43,2023-12-12
c7d401b1-6fec-4b56-8951-ab1dad71c0be,TXN0000000016,2024-09-23,27254798-5ea7-46ee-a71c-8a34bf18156a,US_0012,POS,Apple Financing,USD,1798.35,179.84,113.3,1731.81,2024-09-23
e984f86b-c69c-4401-9635-7e90179954c9,TXN0000000017,2024-11-18,27254798-5ea7-46ee-a71c-8a34bf18156a,US_0008,POS,Corporate Financing,USD,1062.17,0.0,74.35,1136.52,2024-11-18
c1584861-23ed-4d8e-887c-6cdf1faf34d4,TXN0000000018,2024-11-23,27254798-5ea7-46ee-a71c-8a34bf18156a,US_0004,POS,Mastercard,USD,681.01,34.05,45.29,692.25,2024-11-23
e1581bff-f457-43c0-b94b-a1b98cff2ffa,TXN0000000019,2024-06-05,27254798-5ea7-46ee-a71c-8a34bf18156a,US_0010,POS,Apple Pay,USD,663.01,66.3,41.77,638.48,2024-06-05
0ed42c95-496f-46e0-8a6c-c9ec1245c8c7,TXN0000000020,2024-08-15,27254798-5ea7-46ee-a71c-8a34bf18156a,US_0009,POS,Bank EMI,USD,1007.21,50.36,66.98,1023.83,2024-08-15
a53c4687-9b74-4ae5-a602-402408b85d14,TXN0000000021,2024-09-05,27254798-5ea7-46ee-a71c-8a34bf18156a,US_0007,POS,Cash,USD,514.69,25.73,34.23,523.19,2024-09-05
2790ce3f-546c-4651-9b0b-ef8f3f00c5e5,TXN0000000022,2023-11-18,bcedad06-b34f-41e1-a7ec-b631d92a80c5,US_0015,POS,Corporate Financing,USD,771.43,77.14,48.6,742.89,2023-11-18
a1af7ea4-f332-4f90-9a0b-2c569a5d8846,TXN0000000023,2024-10-16,66c6065e-7184-48af-aad3-ae0d871637f0,US_0011,POS,Bank EMI,USD,776.51,0.0,54.36,830.87,2024-10-16
11bd3e92-12d8-4add-b984-a733c5c9decd,TXN0000000024,2024-07-14,66c6065e-7184-48af-aad3-ae0d871637f0,US_0005,POS,Discover,USD,1704.73,170.47,107.4,1641.66,2024-07-14
088ac811-b55d-4785-88d8-838ba3351e95,TXN0000000025,2017-05-27,bcddf0ef-a5af-43d0-a834-21095b28ee36,JP_0004,POS,American Express,JPY,931.44,46.57,88.49,973.36,2017-05-27
eccd4bfb-f243-45b5-98c8-70fbdfbf94d3,TXN0000000026,2020-09-03,bcddf0ef-a5af-43d0-a834-21095b28ee36,JP_0002,POS,Apple Financing,JPY,1171.01,0.0,117.1,1288.11,2020-09-03
ead8968e-0fd7-4ea6-82f5-dcf12ece9340,TXN0000000027,2017-01-31,bcddf0ef-a5af-43d0-a834-21095b28ee36,JP_0005,POS,Mastercard,JPY,784.69,78.47,70.62,776.84,2017-01-31
056289a7-db19-4f80-bf28-0fa36edd446d,TXN0000000028,2019-12-30,81ec5849-0c18-4943-8de4-fa33ecfce14f,US_0009,POS,Apple Financing,USD,1321.96,0.0,92.54,1414.5,2019-12-30
17d8ac49-6bb0-4f16-9223-2e4d419a8c9d,TXN0000000029,2023-11-10,cf695dfc-6e03-4f59-a780-5a3b5c33cf78,US_0006,POS,Visa,USD,966.52,96.65,60.89,930.76,2023-11-10
99e12701-d58c-4545-9ec9-633ea52298f0,TXN0000000030,2024-10-15,e9afa725-8213-4d61-bccf-b8932068ac34,US_0018,POS,Discover,USD,592.5,59.25,37.33,570.58,2024-10-15
ca346dd5-3623-4cfd-885c-dc04a650cf2d,TXN0000000031,2024-10-30,e9afa725-8213-4d61-bccf-b8932068ac34,US_0020,POS,Visa,USD,1986.98,99.35,132.13,2019.76,2024-10-30
5b4aa7f0-a07d-4bba-ba08-93c4178a17fa,TXN0000000032,2024-08-16,37cb2830-16e3-4754-8b23-4d896ff2ce4f,US_0020,POS,Apple Financing,USD,578.4,57.84,36.44,557.0,2024-08-16
e970ec89-9a23-4ed5-a362-b8bb79a61a88,TXN0000000033,2024-11-10,37cb2830-16e3-4754-8b23-4d896ff2ce4f,US_0011,POS,Bank EMI,USD,508.06,50.81,32.01,489.26,2024-11-10
c07ffe53-62bb-4a4d-b4e7-40e4e823a3a8,TXN0000000034,2024-11-03,ccfee70e-4553-4dba-9ab1-cdcd3d9a4acb,US_0012,POS,American Express,USD,774.74,38.74,51.52,787.52,2024-11-03
52ee26c3-3f95-4f92-88d0-05a913bf6734,TXN0000000035,2024-09-08,2778d4a3-96e5-4959-b7d3-eaf1c36af970,US_0002,POS,American Express,USD,674.06,33.7,44.83,685.19,2024-09-08
9b84e642-e6e3-4476-9e71-aed4703267f4,TXN0000000036,2023-10-22,2778d4a3-96e5-4959-b7d3-eaf1c36af970,US_0002,POS,Corporate Financing,USD,1563.06,0.0,109.41,1672.47,2023-10-22
64eaa4a6-3378-44bd-9467-13651d8c060b,TXN0000000037,2020-07-08,01db450f-4f3d-4b45-94d6-225f642d1507,IN_0005,POS,American Express,INR,1822.59,91.13,311.66,2043.12,2020-07-08
a7f13909-4ccb-498a-9c03-78b4b25b0562,TXN0000000038,2020-07-21,01db450f-4f3d-4b45-94d6-225f642d1507,IN_0002,POS,Apple Pay,INR,1075.35,0.0,193.56,1268.91,2020-07-21
5ac0ba0a-5025-4350-afd3-0dae995c52ff,TXN0000000039,2024-10-18,01db450f-4f3d-4b45-94d6-225f642d1507,IN_0016,POS,American Express,INR,1558.68,77.93,266.53,1747.28,2024-10-18
8ac8af35-42fd-4aac-8965-b3aea96300f3,TXN0000000040,2023-11-24,2f38cdce-798b-4831-a739-83f7b447ae63,JP_0020,POS,Bank EMI,JPY,299.48,14.97,28.45,312.96,2023-11-24
e4fed147-2c11-4d04-977f-e629e960e969,TXN0000000041,2018-11-06,2f38cdce-798b-4831-a739-83f7b447ae63,JP_0007,POS,Mastercard,JPY,1145.53,57.28,108.83,1197.08,2018-11-06
73b5f4bd-dfe3-4358-98ac-7ddb9b52aec8,TXN0000000042,2024-03-05,2f38cdce-798b-4831-a739-83f7b447ae63,JP_0017,POS,Mastercard,JPY,1339.02,66.95,127.21,1399.28,2024-03-05
faa47523-0512-4516-82cb-81b1d8f61cd2,TXN0000000043,2024-02-06,07869619-1097-444d-9154-dcf04359c867,US_0018,POS,Cash,USD,963.42,0.0,67.44,1030.86,2024-02-06
787caa69-a155-4a63-93e8-794b3f5525de,TXN0000000044,2023-12-25,07869619-1097-444d-9154-dcf04359c867,US_0018,POS,Apple Pay,USD,950.87,95.09,59.9,915.68,2023-12-25
c93426ca-279c-4f6a-b3d4-d1a85f1c5994,TXN0000000045,2024-08-07,07869619-1097-444d-9154-dcf04359c867,US_0003,POS,Bank EMI,USD,710.81,0.0,49.76,760.57,2024-08-07
f336dcdc-4e31-4a2c-9751-ecb2a7471f7d,TXN0000000046,2024-11-14,07869619-1097-444d-9154-dcf04359c867,US_0005,POS,Mastercard,USD,708.17,35.41,47.09,719.85,2024-11-14
a5a8f56e-07b7-4eb3-a08c-957c52b5a0b7,TXN0000000047,2024-09-10,9ad18bbd-9b5c-47a5-b533-a963ac66ed1b,JP_0015,POS,Corporate Financing,JPY,1120.42,56.02,106.44,1170.84,2024-09-10
74848b2a-2c9d-4c92-ad16-ca549645d8ad,TXN0000000048,2024-11-08,684d59a3-769f-4ebd-a18b-5d2a45ee4cdd,US_0012,POS,Apple Pay,USD,1778.36,0.0,124.49,1902.85,2024-11-08
0c753880-67a6-44f6-8770-b0c59d62e9e2,TXN0000000049,2024-12-05,684d59a3-769f-4ebd-a18b-5d2a45ee4cdd,US_0006,POS,Discover,USD,1890.82,189.08,119.12,1820.86,2024-12-05
3ca10904-bdef-48ac-8bee-3853869ed537,TXN0000000050,2023-11-07,684d59a3-769f-4ebd-a18b-5d2a45ee4cdd,US_0008,POS,Apple Pay,USD,1037.84,51.89,69.02,1054.97,2023-11-07
dee8c194-056b-48a7-9035-5a646b996513,TXN0000000051,2017-09-12,6f3e402c-709e-474b-bdcb-3093a6225a04,US_0010,POS,Visa,USD,781.69,78.17,49.25,752.77,2017-09-12
03b8d030-fdec-4856-b26b-d52398d58f14,TXN0000000052,2024-10-26,0dea54a2-4aa2-4b85-ae59-079018327a24,US_0012,POS,Corporate Financing,USD,1656.75,165.68,104.37,1595.44,2024-10-26
22f5c629-3a8c-45ab-9709-eb6d0ac0ab9d,TXN0000000053,2024-10-13,0dea54a2-4aa2-4b85-ae59-079018327a24,US_0001,POS,Apple Pay,USD,1434.94,71.75,95.42,1458.61,2024-10-13
ece21c44-cd43-42f4-9798-89281eed7b6e,TXN0000000054,2024-09-09,0dea54a2-4aa2-4b85-ae59-079018327a24,US_0018,POS,Visa,USD,578.45,0.0,40.49,618.94,2024-09-09
9c374ee0-570c-491e-9834-4f11e34e2607,TXN0000000055,2022-10-05,092c37f6-9480-48af-81fd-2718c04f691a,US_0011,POS,Corporate Financing,USD,320.33,0.0,22.42,342.75,2022-10-05
81f79dde-d60c-4f8c-a405-7073ceb42d8b,TXN0000000056,2019-11-16,b06036d8-c59d-4139-a825-bd34e2e26a77,US_0006,POS,Apple Financing,USD,1278.18,0.0,89.47,1367.65,2019-11-16
77c270a3-e308-4252-84f5-651c25ada090,TXN0000000057,2020-10-03,b06036d8-c59d-4139-a825-bd34e2e26a77,US_0015,POS,Bank EMI,USD,1642.67,82.13,109.24,1669.78,2020-10-03
e0a4948b-72fa-481b-a01b-88a08da8c263,TXN0000000058,2024-10-28,9e85d86f-cac5-42c0-b069-60217bcd1d3b,US_0003,POS,Apple Pay,USD,608.09,0.0,42.57,650.66,2024-10-28
d01e4c58-6980-4b4a-83b7-0af067d28a40,TXN0000000059,2024-09-21,9e85d86f-cac5-42c0-b069-60217bcd1d3b,US_0008,POS,Bank EMI,USD,1737.74,86.89,115.56,1766.41,2024-09-21
57ee2257-d2a2-43d2-8c24-6f719e183bab,TXN0000000060,2024-11-10,9e85d86f-cac5-42c0-b069-60217bcd1d3b,US_0016,POS,Cash,USD,810.84,81.08,51.08,780.84,2024-11-10
f709b7cb-c3db-40d4-9c5c-b79f388fdd7e,TXN0000000061,2024-10-24,9e85d86f-cac5-42c0-b069-60217bcd1d3b,US_0014,POS,Apple Pay,USD,1250.49,62.52,83.16,1271.13,2024-10-24
4a9f66e6-092c-462f-9753-d9613c420463,TXN0000000062,2024-10-18,9e85d86f-cac5-42c0-b069-60217bcd1d3b,US_0013,POS,Mastercard,USD,310.92,15.55,20.68,316.05,2024-10-18
b197eb9e-4512-4f21-9c9d-28c36c6fb2fd,TXN0000000063,2024-09-25,9e85d86f-cac5-42c0-b069-60217bcd1d3b,US_0019,POS,Mastercard,USD,1463.08,73.15,97.3,1487.23,2024-09-25
75363f77-3b44-4def-ae8b-cff51ead4997,TXN0000000064,2024-09-17,9e85d86f-cac5-42c0-b069-60217bcd1d3b,US_0018,POS,Apple Financing,USD,1993.54,199.35,125.59,1919.78,2024-09-17
700a7e72-f6eb-4654-9560-1eefce0f3c77,TXN0000000065,2016-11-12,b04da43f-23e4-4e5f-96f4-8318af2cb4ab,US_0004,POS,American Express,USD,759.4,75.94,47.84,731.3,2016-11-12
4398a9dc-e0b6-45b6-a738-b3e0a8482c74,TXN0000000066,2017-10-07,b04da43f-23e4-4e5f-96f4-8318af2cb4ab,US_0006,POS,Discover,USD,1958.55,97.93,130.24,1990.86,2017-10-07
90349e7c-0f8b-4bf7-b002-7c337a09a3c8,TXN0000000067,2017-09-16,1ee5aaf4-e3ab-40d9-a0eb-5d82ad51aae2,JP_0010,POS,Mastercard,JPY,793.68,0.0,79.37,873.05,2017-09-16
13049380-4d11-46ad-88e8-d5bb4bd1552e,TXN0000000068,2023-10-05,668746ca-f0fb-4d54-b478-2a2d5c2d3fa9,US_0002,POS,Apple Financing,USD,1063.52,106.35,67.0,1024.17,2023-10-05
1cadf023-cfde-4803-a6c9-2ab7d3bfc600,TXN0000000069,2022-09-14,668746ca-f0fb-4d54-b478-2a2d5c2d3fa9,US_0012,POS,Bank EMI,USD,376.81,37.68,23.74,362.87,2022-09-14
